brand,size,color,upc,sku
Veevus,Body Fuzz L,3 UV Peacock,762820207006,939-207006
Veevus,Body Fuzz L,4 UV Blue,762820207013,939-207013
Veevus,Body Fuzz L,5 UV Tan,762820207020,939-207020
Veevus,Body Fuzz L,6 UV Chartreuse,762820207037,939-207037
Veevus,Body Fuzz L,7 UV Brown Stone,762820207044,939-207044
Veevus,Body Fuzz L,8 UV Copper Brown,762820207051,939-207051
Veevus,Body Fuzz L,9 UV Bright Purple,762820207068,939-207068
Veevus,Body Fuzz L,10 UV Golden Stone,762820207075,939-207075
Veevus,Body Fuzz L,11 UV Dun Grey,762820207082,939-207082
Veevus,Body Fuzz L,12 UV Clear,762820207099,939-207099
Veevus,Body Fuzz L,13 UV Orange,762820207105,939-207105
Veevus,Body Fuzz L,14 UV Pink,762820207112,939-207112
Veevus,Lucent Body,1 Black,762820207129,939-207129
Veevus,Lucent Body,2 Olive,762820207136,939-207136
Veevus,Lucent Body,3 Peacock,762820207143,939-207143
Veevus,Lucent Body,4 Blue,762820207150,939-207150
Veevus,Lucent Body,5 Tan,762820207167,939-207167
Veevus,Lucent Body,6 Chartreuse,762820207174,939-207174
Veevus,Lucent Body,7 Brown Stone,762820207181,939-207181
Veevus,Lucent Body,8 Copper Brown,762820207198,939-207198
Veevus,Lucent Body,9 Bright Purple,762820207204,939-207204
Veevus,Lucent Body,10 Golden Stone,762820207211,939-207211
Veevus,Lucent Body,11 Dun Grey,762820207228,939-207228
Veevus,Lucent Body,12 Clear,762820207235,939-207235
Veevus,Lucent Body,13 Orange,762820207242,939-207242
Veevus,Lucent Body,14 Pink,762820207259,939-207259
Veevus,PPTTT Kevlar,Natural,762820203640,939-203640
Danville,70 Denier 6/0,Beige,762820017988,939-01798
Danville,70 Denier 6/0,Black,762820017995,939-01799
Danville,70 Denier 6/0,Brown,762820018008,939-01800
Danville,70 Denier 6/0,Fluorescent Fire Orange,762820018015,939-01801
Danville,70 Denier 6/0,Fluorescent Green,762820018022,939-01802
Danville,70 Denier 6/0,Fluorescent Red,762820018039,939-01803
Danville,70 Denier 6/0,Grey,762820018046,939-01804
Danville,70 Denier 6/0,Light Olive,762820018053,939-01805
Danville,70 Denier 6/0,Olive,762820018060,939-01806
Danville,70 Denier 6/0,Orange,762820018077,939-01807
Danville,70 Denier 6/0,Red,762820018084,939-01808
Danville,70 Denier 6/0,White,762820018091,939-01809
Danville,70 Denier 6/0,Yellow,762820018107,939-01810
Danville,Flat Mylar Tinsel,Medium 12,762820052194,939-05219
Danville,Flat Mylar Tinsel,Small 14,762820054471,939-05447
Danville,Flat Mylar Tinsel,Large 10,762820054488,939-05448
Danville,Flat Mylar Tinsel,Fine 16-18,762820054686,939-05468
Danville,70 Denier 6/0,Adams Grey,762820055980,939-05598
Danville,70 Denier 6/0,Peacock Green,762820055997,939-05599
Danville,70 Denier 6/0,Dark Brown,762820056000,939-05600
Danville,Fine Wire,Gold,762820056222,939-05622
Danville,Fine Wire,Silver,762820056239,939-05623
Danville,Monofilament,Clear,762820066504,939-06650
Danville,70 Denier 6/0,Wine,762820079757,939-07975
Danville,70 Denier 6/0,Fluorescent Orange,762820079764,939-07976
Danville,70 Denier 6/0,Tan,762820079771,939-07977
Danville,70 Denier 6/0,Fluorescent Shrimp Pink,762820079788,939-07978
Danville,70 Denier 6/0,Fl Yellow Chartreuse,762820079795,939-07979
Danville,70 Denier 6/0,Light Cahill,762820079801,939-07980
Danville,70 Denier 6/0,Cream,762820079818,939-07981
Danville,140 Denier,Grey,762820157592,939-15759
Danville,140 Denier,Beige,762820157608,939-15760
Danville,140 Denier,Black,762820157615,939-15761
Danville,140 Denier,Brown,762820157622,939-15762
Danville,140 Denier,Cream,762820157639,939-15763
Danville,140 Denier,Dark Brown,762820157646,939-15764
Danville,140 Denier,Fl Blue,762820157653,939-15765
Danville,140 Denier,Fl Fire Orange,762820157660,939-15766
Danville,140 Denier,Fl Green,762820157677,939-15767
Danville,140 Denier,Fl Orange,762820157684,939-15768
Danville,140 Denier,Fl Red Cerise,762820157691,939-15769
Danville,140 Denier,Fl Shrimp Pink,762820157707,939-15770
Danville,140 Denier,Fl Yellow,762820157714,939-15771
Danville,140 Denier,Adams Grey,762820157721,939-15772
Danville,140 Denier,Light Olive,762820157738,939-15773
Danville,140 Denier,Olive,762820157745,939-15774
Danville,140 Denier,Orange,762820157752,939-15775
Danville,140 Denier,Peacock Green,762820157769,939-15776
Danville,140 Denier,Purple,762820157776,939-15777
Danville,140 Denier,Red,762820157783,939-15778
Danville,140 Denier,Tan,762820157790,939-15779
Danville,140 Denier,Watery Olive,762820157806,939-15780
Danville,140 Denier,White,762820157813,939-15781
Danville,140 Denier,Wine,762820157820,939-15782
Danville,140 Denier,Yellow,762820157837,939-15783
