zip,tier
03234,DAS_EXTENDED
03235,DAS
03237,DAS_EXTENDED
03238,DAS
03240,DAS_EXTENDED
03241,DAS_EXTENDED
03242,DAS_EXTENDED
03243,DAS_EXTENDED
03244,DAS_EXTENDED
03245,DAS_EXTENDED
03246,DAS
03249,DAS
03251,DAS_EXTENDED
03252,DAS
03253,DAS_EXTENDED
03254,DAS
03255,DAS_EXTENDED
03256,DAS_EXTENDED
03257,DAS
03258,DAS
03259,DAS_EXTENDED
03260,DAS_EXTENDED
03261,DAS_EXTENDED
03262,DAS_EXTENDED
03263,DAS_EXTENDED
03264,DAS
03266,DAS_EXTENDED
03268,DAS_EXTENDED
03269,DAS_EXTENDED
03272,DAS_EXTENDED
03273,DAS_EXTENDED
03275,DAS
03278,DAS_EXTENDED
03279,DAS_EXTENDED
03280,REMOTE_US48
03281,DAS
03282,DAS_EXTENDED
03284,DAS_EXTENDED
03285,DAS_EXTENDED
03287,DAS_EXTENDED
03290,DAS_EXTENDED
03291,DAS
03293,DAS
03303,DAS
03304,DAS
03307,DAS_EXTENDED
03440,DAS_EXTENDED
03441,DAS_EXTENDED
03442,DAS_EXTENDED
03443,DAS_EXTENDED
03444,DAS_EXTENDED
03445,DAS_EXTENDED
03446,DAS
03447,DAS_EXTENDED
03448,DAS
03449,DAS
03450,DAS_EXTENDED
03451,DAS
03452,DAS
03455,DAS_EXTENDED
03456,DAS_EXTENDED
03457,DAS_EXTENDED
03458,DAS
03461,DAS
03462,DAS_EXTENDED
03464,DAS_EXTENDED
03465,DAS_EXTENDED
03466,DAS
03467,DAS
03469,DAS
03470,DAS
03561,DAS_EXTENDED
03570,DAS
03574,DAS_EXTENDED
03575,DAS
03576,DAS_EXTENDED
03579,DAS_EXTENDED
03580,DAS_EXTENDED
03581,DAS
03582,DAS_EXTENDED
03583,DAS_EXTENDED
03584,DAS
03585,DAS
03586,DAS_EXTENDED
03588,REMOTE_US48
03590,DAS_EXTENDED
03592,DAS_EXTENDED
03593,DAS_EXTENDED
03595,DAS_EXTENDED
03597,REMOTE_US48
03598,DAS
